cont_id,associated_id,type
"1845576_None",1845576,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1008621_None",1008621,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1016143_None",1016143,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"1186787_None",1186787,Player
"796155_None",796155,Player
"796155_None",796155,Player
"796155_None",796155,Player
"796155_None",796155,Player
"796155_None",796155,Player
"796155_None",796155,Player
"796155_None",796155,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"1102955_None",1102955,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"544532_None",544532,Player
"1605928_None",1605928,Player
"1605928_None",1605928,Player
"1605928_None",1605928,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"797021_None",797021,Player
"1213240_None",1213240,Player
"1213240_None",1213240,Player
"1213240_None",1213240,Player
"1213240_None",1213240,Player
"1213240_None",1213240,Player
"970835_None",970835,Player
"970835_None",970835,Player
"970835_None",970835,Player
"970835_None",970835,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"330025_None",330025,Player
"1952096_None",1952096,Player
"1008280_None",1008280,Player
"1008280_None",1008280,Player
"919484_None",919484,Player
"919484_None",919484,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"906597_None",906597,Player
"970819_None",970819,Player
"970819_None",970819,Player
"970819_None",970819,Player
"1502265_None",1502265,Player
"1168799_None",1168799,Player
"971021_None",971021,Player
"971021_None",971021,Player
"971021_None",971021,Player
"971021_None",971021,Player
"970766_None",970766,Player
"970766_None",970766,Player
"970766_None",970766,Player
"919701_None",919701,Player
"919701_None",919701,Player
"919701_None",919701,Player
"1140885_None",1140885,Player
"1140885_None",1140885,Player
"1009912_None",1009912,Player
"1009912_None",1009912,Player
"1009912_None",1009912,Player
"1009912_None",1009912,Player
"1168539_None",1168539,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
