id,name,age,nationality,jerseyNumber,height,weight,preferred_foot,preferred_positions,market_value,overall_rating,minutes_played
1140803,"Abdelhak Assal",27,"Morocco",13,190,None,"Right","D",725000,None,None
1095727,"Haytam Manaout",24,"Morocco",20,179,None,"Right","D",1100000,None,None
782542,"Hamza El Moussaoui",32,"Morocco",19,181,None,"Left","D",825000,None,None
1014377,"Et-Tayeb Boukhriss",26,"Morocco",33,177,None,"Right","D",515000,None,None
1525293,"Amine El Maswab",25,"Morocco",2,,None,"Left","D",110000,None,None
970592,"Mohamed Aymen Sadil",31,"Morocco",3,,None,"Left","D",45000,None,None
141967,"Munir Mohamedi",36,"Morocco",1,190,None,"Right","G",770000,None,None
970755,"Mehdi Maftah",32,"Morocco",12,190,None,"Right","G",325000,None,None
1118615,"Bilal Kamal",27,"Morocco",16,,None,,"G",,None,None
2265493,"Yassine Jabrane",25,"Morocco",91,190,None,"Left","F",79000,None,None
1525321,"Soufiane Jazouli",29,"Morocco",97,,None,"Left","F",,None,None
1140863,"Mohssine Abba",25,"Morocco",77,178,None,"Left","F",52000,None,None
2161834,"Brahim Ait Hammou",27,"Morocco",98,,None,"Right","F",80000,None,None
1923105,"Reda Abardi",33,"Morocco",62,,None,"Right","F",165000,None,None
2161830,"Amine Aghou",27,"Morocco",26,178,None,"Right","F",130000,None,None
2161837,"Salah Eddine Essalehy",21,"Morocco",11,,None,,"F",,None,None
2161838,"Salah Eddine Abderahim",21,"Morocco",17,178,None,"Both","F",,None,None
2161833,"Ayoub Benaadi ",32,"Morocco",2,,None,,"M",240000,None,None
1103074,"Charaf-Eddine Boulahroud",24,"Morocco",29,180,None,"Right","M",,None,None
1387222,"Hamza Janan Allah",25,"Morocco",37,,None,"Left","M",79000,None,None
1525311,"Mohamed Habbali",33,"Morocco",7,166,None,,"M",210000,None,None
2161839,"Mohamed Adjar",22,"Morocco",20,,None,,"M",26000,None,None
2161841,"Hamza Saoud",29,"Morocco",10,,None,,"M",130000,None,None
2161827,"Khalid Raiss",22,"Morocco",38,185,None,,"M",,None,None
2161840,"Redouane Oubidar",27,"Morocco",6,,None,"Right","M",155000,None,None
2161842,"Mounir El Gouj",22,"Morocco",21,,None,,"M",,None,None
2161847,"Brahim Amzili",32,"Morocco",13,,None,"Right","M",130000,None,None
2161831,"Anass Aziz",21,"Morocco",14,,None,,"M",,None,None
2161829,"Youssef Fahmi",28,"Morocco",24,,None,"Right","M",52000,None,None
2265485,"Omar Ouddah",27,"Morocco",25,179,None,"Both","M",23000,None,None
2265476,"Mohamed Hamdi",32,"Morocco",55,175,None,"Right","M",,None,None
1525302,"Hicham Ait Brahim",29,"Morocco",15,,None,"Right","D",190000,None,None
1464128,"Cheick Keita",26,"Mali",32,188,None,"Right","D",165000,None,None
2161828,"Ameur Aboujemaa",21,"Morocco",5,187,None,"Left","D",115000,None,None
1014438,"Younes El Khafi",31,"Morocco",3,175,None,"Left","D",82000,None,None
1004432,"Yassine Boughaz",32,"Morocco",8,177,None,"Right","D",26000,None,None
2161824,"Abdullah Mani",22,"Morocco",38,,None,,"D",,None,None
2265465,"Ismail Soubai",25,"Morocco",4,182,None,"Right","D",26000,None,None
1140956,"Mouhcine Boumlik",28,"Morocco",19,184,None,"Left","D",27000,None,None
2161843,"Mohamed Idar",39,"Morocco",1,,None,"Right","G",52000,None,None
2161835,"Tarik Kotobi",29,"Morocco",12,,None,,"G",,None,None
2161845,"Hafid Id Said",27,"Morocco",22,184,None,"Right","G",,None,None
1874639,"Abdallah Ziani",22,"Morocco",77,167,None,"Right","F",165000,None,None
1029681,"Romuald Dacosta",25,"Senegal",80,182,None,"Both","F",220000,None,None
1404139,"Yassine Lamine",26,"Morocco",9,179,None,,"F",235000,None,None
1140816,"Abderrazak Ennakouss",24,"Morocco",17,190,None,"Left","F",120000,None,None
2296501,"Imad Sabik",28,"Morocco",7,,None,,"F",,None,None
2125677,"Achraf  Idrissi",25,"Morocco",99,,None,"Left","F",,None,None
1140961,"Khalid Baba",25,"Morocco",11,,None,,"M",535000,None,None
912144,"Moctar El Hacen",27,"Mauritania",18,181,None,"Right","M",325000,None,None
1525299,"Brahim El Idrissi Bouzidi",25,"Morocco",6,181,None,"Right","M",335000,None,None
1920160,"Hiudaifa Jamaane",19,"Morocco",19,,None,"Right","M",,None,None
1177366,"Mouad Mouchtanim",26,"Morocco",10,,None,"Left","M",24000,None,None
1140899,"Youssef Michte",26,"Morocco",88,178,None,"Right","M",325000,None,None
2161836,"Ayoub El Khaffi",26,"Morocco",8,,None,,"M",24000,None,None
2127598,"Mohamed Hilali",26,"Morocco",21,,None,,"M",26000,None,None
919555,"Marouane Hadhoudi",33,"Morocco",15,190,None,"Right","D",320000,None,None
2002209,"Abdoulaye Sanogo",21,"Mali",5,187,None,"Right","D",24000,None,None
1140962,"Mohamed Bentarcha",27,"Morocco",14,185,None,"Right","D",165000,None,None
1004256,"Marouane Lemzaouri",32,"Morocco",4,,None,,"D",305000,None,None
919738,"Achraf El Idrissi",30,"Morocco",,172,None,"Right","M",195000,None,None
1004256,"Marouane Lemzaouri",32,"Morocco",4,,None,,"D",305000,None,None
1004427,"Omar Jerrari",31,"Morocco",13,177,None,"Left","D",480000,None,None
1919273,"Yassine Fatine",29,"Morocco",20,183,None,"Both","D",285000,None,None
1919290,"Soufiane Abaaziz",27,"Morocco",23,179,None,"Left","D",205000,None,None
1919297,"Oussama Benchchaoui",24,"Morocco",2,178,None,"Right","D",69000,None,None
1919330,"Hadi Idrissou",23,"Togo",,186,None,"Right","D",26000,None,None
1919307,"Aymane Takoua",21,"Morocco",55,191,None,"Left","D",,None,None
2268400,"Zakaria Oubraim",23,"Morocco",24,,None,,"D",,None,None
794543,"Babacar Niasse",29,"Mauritania",30,195,None,"Right","G",425000,None,None
970634,"Marouane Bessak",29,"Morocco",1,190,None,"Right","G",190000,None,None
1920270,"Ayoub Ait Wahmane",24,"Morocco",16,,None,,"G",,None,None
2140735,"Younes Essalaoui",,,34,,None,,"",,None,None
1916066,"Papa Magueye Gaye",19,"Senegal",72,,None,,"F",,None,None
1004247,"Jawad Rhabra",31,"Morocco",19,184,None,"Both","F",295000,None,None
1897485,"Livty Kpolo",23,"France",38,,None,,"F",26000,None,None
1014439,"Jawad Ghabra",31,"Morocco",19,184,None,,"F",,None,None
2265920,"Nawfal Chninak",19,"Morocco",64,180,None,,"F",,None,None
788969,"Mohsine Moutouali",39,"Morocco",5,174,None,"Right","M",80000,None,None
285941,"Zakaria Bakkali",29,"Belgium",99,168,None,"Right","M",185000,None,None
981300,"Ennaama El Bellali",27,"Morocco",20,189,None,"Right","M",320000,None,None
1004260,"Zakaria Kiani",28,"Morocco",22,170,None,"Right","M",465000,None,None
1185396,"Hamza El Moudene",30,"Morocco",21,,None,"Right","M",245000,None,None
930851,"Siriki Sanogo",24,"Côte d'Ivoire",79,178,None,"Left","M",130000,None,None
919527,"Ahmed Chentouf",29,"Morocco",16,,None,"Right","M",77000,None,None
1004540,"Faouzi Abdoul Mutalib",32,"Morocco",8,,None,,"M",295000,None,None
1004547,"Haytham El Bahja",32,"Morocco",14,175,None,"Left","M",250000,None,None
782500,"Anas Lamrabat",32,"Morocco",23,173,None,"Left","M",240000,None,None
2050924,"Moussa Kote",,"Senegal",75,,None,,"M",,None,None
2053850,"Adam Darazi",20,"France",27,172,None,"Right","M",,None,None
2007231,"Louay El Moussaoui",,"Morocco",49,,None,,"M",,None,None
359288,"Mohamed Saoud",29,"Morocco",4,185,None,"Right","D",385000,None,None
882322,"Badr Gaddarine",28,"Morocco",97,178,None,"Left","D",475000,None,None
1140920,"Bilal El Ouadghiri",24,"Morocco",6,186,None,,"D",465000,None,None
1140846,"Oussama Al Aiz",26,"Morocco",13,,None,,"D",270000,None,None
1919291,"Akram El Wahabi",21,"Spain",24,,None,,"D",,None,None
1875400,"Mohamed El Guartit",20,"Morocco",34,,None,"Right","D",,None,None
966618,"Malcolm Barcola",26,"Togo",,195,None,"Right","G",48000,None,None
1107604,"Amine El Ouaad",30,"Morocco",1,188,None,"Right","G",360000,None,None
1095734,"Youssef Laghzal",24,"Morocco",73,,None,,"G",52000,None,None
1954144,"Youssef Ezzarradi",,"Morocco",50,,None,,"",,None,None
1974176,"Achraf El Quaraoui",,,48,,None,,"",,None,None
997038,"Zacarias Ghailan",23,"Morocco",19,173,None,"Right","F",135000,None,None
1923776,"Ahmed Rhailouf",21,"Morocco",11,188,None,"Right","F",215000,None,None
1095733,"Taha Alachbili",24,"Morocco",8,175,None,"Right","F",,None,None
1525284,"Abdelaziz El Hamzaoui",33,"Morocco",17,183,None,"Left","F",185000,None,None
1994372,"Marouane Oujeddou",21,"Morocco",16,,None,,"F",,None,None
1140894,"Zakaria Bahrou",28,"Morocco",7,183,None,"Right","F",490000,None,None
1013427,"Mountassir Lahtimi",24,"Morocco",21,180,None,"Left","M",360000,None,None
1407530,"Zakaria Fatihi",27,"Morocco",17,175,None,,"M",215000,None,None
1942512,"Faffa El Yazid",24,"Morocco",11,169,None,"Right","M",260000,None,None
1957278,"Ishak Zidani",24,"Morocco",4,188,None,"Right","M",405000,None,None
1095721,"Abdellah Farah",24,"Morocco",14,,None,,"M",195000,None,None
919342,"Mohammad El Fakih",35,"Morocco",5,175,None,"Right","M",52000,None,None
919462,"Ayoub Joulale",27,"Morocco",8,,None,"Right","M",,None,None
1525294,"Anass El Ghannouj",28,"Morocco",17,171,None,,"M",235000,None,None
1140829,"Reda Lakhmidi",25,"Morocco",99,178,None,"Right","M",,None,None
1095728,"Ismail Gourad",24,"Morocco",72,,None,"Left","M",27000,None,None
1919276,"Abdellatif El Bajjani",30,"Morocco",6,173,None,"Both","M",205000,None,None
1010827,"Moustapha Chichane",34,"Morocco",18,180,None,"Right","M",24000,None,None
1457867,"Ousmane Diallo",26,"Mali",3,181,None,"Left","D",120000,None,None
1140818,"Abdessamad Badaoui",26,"Morocco",66,,None,"Right","D",260000,None,None
1525306,"James Ajako",22,"Nigeria",2,178,None,"Left","D",475000,None,None
1140911,"Aymane El Aouani",25,"Morocco",98,,None,"Left","D",380000,None,None
1468076,"Reda Ait Boughima",25,"Morocco",66,181,None,"Right","D",,None,None
1000440,"Youssef Aoujdal",23,"Morocco",20,181,None,"Right","D",,None,None
1546502,"Ayoub Tine",33,"Morocco",27,175,None,"Right","D",93000,None,None
919768,"Zouheir El Hachemi",27,"Morocco",23,177,None,"Right","D",310000,None,None
1140922,"Bilal Soufi",26,"Morocco",15,,None,,"D",220000,None,None
1004249,"Mehdi El Jourbaoui",32,"Morocco",95,190,None,"Left","G",310000,None,None
919632,"Aissa Sioudi",28,"Morocco",1,188,None,,"G",80000,None,None
1008634,"Mohamed Ferni",26,"Morocco",22,186,None,"Right","G",220000,None,None
1939981,"Jawad Essaghir",,"Morocco",38,,None,,"",,None,None
