id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"375635_Total",76,0,0,6,1,0,78,29,None,None,None,None,None
"1092073_Total",43,1,1,5,1,0,0,0,None,None,None,None,None
"643992_Total",38,1,0,4,0,0,0,0,None,None,None,None,None
"536874_Total",40,3,5,2,0,0,0,0,None,None,None,None,None
"850874_Total",7,1,0,1,0,0,0,0,None,None,None,None,None
"520441_Total",39,1,1,7,0,2,0,0,None,None,None,None,None
"712124_Total",134,6,3,16,0,1,0,0,None,None,None,None,None
"238963_Total",54,0,1,5,0,0,0,0,None,None,None,None,None
"1097549_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"366783_Total",134,0,0,10,0,0,109,61,None,None,None,None,None
"556868_Total",19,0,0,1,0,0,25,4,None,None,None,None,None
"617083_Total",71,2,3,7,0,0,0,0,None,None,None,None,None
"855878_Total",112,4,5,11,0,1,0,0,None,None,None,None,None
"926537_Total",39,3,0,2,1,0,0,0,None,None,None,None,None
"790406_Total",103,19,12,12,0,0,0,0,None,None,None,None,None
"1406018_Total",1,0,0,0,0,0,0,0,None,None,None,None,None
"1263222_Total",37,2,2,8,0,0,0,0,None,None,None,None,None
"837173_Total",76,9,3,9,0,1,0,0,None,None,None,None,None
"234900_Total",94,0,0,11,0,0,111,21,None,None,None,None,None
"822539_Total",80,1,4,11,0,0,0,0,None,None,None,None,None
"731876_Total",100,9,14,3,0,0,0,0,None,None,None,None,None
"1264456_Total",3,0,0,2,0,0,0,0,None,None,None,None,None
"365362_Total",199,45,15,19,0,0,0,0,None,None,None,None,None
"1210076_Total",31,2,1,4,0,0,0,0,None,None,None,None,None
"1076082_Total",32,0,1,4,0,0,0,0,None,None,None,None,None
"558706_Total",108,6,6,3,0,1,0,0,None,None,None,None,None
"1274616_Total",40,2,1,7,0,0,0,0,None,None,None,None,None
"858917_Total",57,1,1,6,0,0,0,0,None,None,None,None,None
"800365_Total",35,2,5,3,0,0,0,0,None,None,None,None,None
"897600_Total",45,12,2,3,0,0,0,0,None,None,None,None,None
"1033958_Total",57,2,3,4,1,0,0,0,None,None,None,None,None
"549322_Total",23,0,0,3,0,0,0,0,None,None,None,None,None
"1203684_Total",29,1,0,9,0,0,0,0,None,None,None,None,None
"499511_Total",124,0,0,5,0,0,128,47,None,None,None,None,None
"800592_Total",11,1,2,2,0,0,0,0,None,None,None,None,None
"1060545_Total",17,1,0,3,0,0,0,0,None,None,None,None,None
"727252_Total",55,2,1,4,0,0,0,0,None,None,None,None,None
"1309132_Total",25,4,1,5,0,0,0,0,None,None,None,None,None
"1262530_Total",8,2,0,3,0,0,0,0,None,None,None,None,None
"665743_Total",129,10,6,14,2,0,0,0,None,None,None,None,None
"667972_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"727075_Total",82,0,0,6,0,0,91,28,None,None,None,None,None
"738953_Total",67,3,1,9,0,0,0,0,None,None,None,None,None
"1203850_Total",23,0,0,1,0,1,0,0,None,None,None,None,None
"820480_Total",104,5,2,13,1,1,0,0,None,None,None,None,None
"1210182_Total",12,0,1,1,0,0,0,0,None,None,None,None,None
"235116_Total",284,8,6,51,0,3,0,0,None,None,None,None,None
"1422476_Total",3,0,0,1,0,0,0,0,None,None,None,None,None
"1087382_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"366775_Total",110,1,4,7,1,0,0,0,None,None,None,None,None
"738071_Total",92,11,7,13,0,0,0,0,None,None,None,None,None
"176573_Total",129,0,0,13,0,1,180,33,None,None,None,None,None
"717216_Total",120,3,6,22,1,3,0,0,None,None,None,None,None
"617595_Total",80,0,0,6,0,0,107,21,None,None,None,None,None
"1336614_Total",9,6,1,0,0,0,0,0,None,None,None,None,None
"1210187_Total",8,0,0,0,0,0,0,0,None,None,None,None,None
"275262_Total",154,4,12,30,2,0,0,0,None,None,None,None,None
"1178984_Total",43,0,1,5,0,0,0,0,None,None,None,None,None
"863506_Total",50,8,5,6,0,0,0,0,None,None,None,None,None
"891953_Total",69,9,4,9,0,0,0,0,None,None,None,None,None
"1172375_Total",56,3,0,8,0,1,0,0,None,None,None,None,None
"1307857_Total",5,0,0,0,0,0,4,2,None,None,None,None,None
"1273576_Total",11,3,2,0,0,0,0,0,None,None,None,None,None
"1076078_Total",28,4,0,6,0,0,0,0,None,None,None,None,None
"1302320_Total",12,1,0,0,0,0,0,0,None,None,None,None,None
"902827_Total",31,0,0,3,0,0,0,0,None,None,None,None,None
"840930_Total",2,0,0,0,0,0,0,0,None,None,None,None,None
"882909_Total",36,2,0,9,0,0,0,0,None,None,None,None,None
"1002677_Total",36,1,0,4,1,0,0,0,None,None,None,None,None
"1004272_Total",65,7,2,4,0,0,0,0,None,None,None,None,None
"1307908_Total",7,0,0,3,0,0,0,0,None,None,None,None,None
"321629_Total",164,13,3,31,2,1,0,0,None,None,None,None,None
"539612_Total",83,6,0,11,0,0,0,0,None,None,None,None,None
"496570_Total",169,8,9,17,1,1,0,0,None,None,None,None,None
"1191484_Total",17,0,0,2,0,0,0,0,None,None,None,None,None
"683336_Total",115,8,6,12,1,2,0,0,None,None,None,None,None
"717214_Total",111,4,2,17,0,0,0,0,None,None,None,None,None
"240721_Total",98,11,3,17,0,1,0,0,None,None,None,None,None
"245202_Total",249,2,15,35,1,2,0,0,None,None,None,None,None
"836632_Total",12,0,0,2,0,0,17,2,None,None,None,None,None
"859901_Total",85,5,1,10,1,2,0,0,None,None,None,None,None
"203378_Total",208,21,11,20,1,0,0,0,None,None,None,None,None
"507358_Total",90,11,11,17,1,0,0,0,None,None,None,None,None
"1333330_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1303960_Total",23,5,0,2,0,0,0,0,None,None,None,None,None
