id,name,age,nationality,height,preferred_foot,preferred_positions,market_value,current_club_id
558706,Zouheir El Hachemi,27,Morocco,177,right,Right-Back,€150k,74953
1274616,Ishak Zidani,24,Morocco,188,right,Defensive Midfield,€375k,74953
858917,Abdessamad Badaoui,26,Morocco,0,,Right-Back,€250k,74953
800365,Reda Lakhmidi,25,Morocco,178,right,Attacking Midfield,€10k,74953
897600,Abdelaziz El Hamzaoui,33,Morocco,186,left,Left Winger,€75k,74953
1033958,Zakaria Fatihi,27,Morocco,175,,Right Winger,€225k,74953
549322,Ayoub Joulale,27,Morocco,0,right,Right Midfield,€10k,74953
1203684,Abdellatif El Bajjani,30,Morocco,0,,Defensive Midfield,€200k,74953
499511,Marouane Fakhr,36,Morocco,182,right,Goalkeeper,€100k,74953
800592,Taha Al Achbili,24,Morocco,175,left,Left Winger,€10k,74953
1060545,Ousmane Diallo,26,Mali,181,left,Left-Back,€125k,74953
727252,Bilal Soufi,26,Morocco,0,,Centre-Back,€200k,74953
1309132,Ahmed Rhailouf,21,Morocco,188,right,Centre-Forward,€200k,74953
1262530,Reda Ait Boughima,25,Morocco,181,right,Centre-Back,€100k,74953
665743,Moustapha Chichane,34,Morocco,180,right,Defensive Midfield,€25k,74953
667972,Youssef Aoujdal,23,Morocco,181,right,Centre-Back,€10k,74953
727075,Mohamed Ferni,26,Morocco,186,right,Goalkeeper,€225k,74953
738953,Ismail Gourad,24,Morocco,0,left,Left Winger,€25k,74953
1203850,Oussama Benchchaoui,24,Morocco,178,right,Right-Back,€75k,14462
820480,Youssef Michte,26,Morocco,178,right,Defensive Midfield,€300k,14462
1210182,Ayoub El Khafi,26,Morocco,0,,Central Midfield,€25k,14462
235116,Marouane Hadhoudi,33,Morocco,190,right,Centre-Back,€300k,14462
1422476,Zakaria Oubraim,23,Morocco,183,,Right-Back,€25k,14462
1087382,Aymane Takoua,21,Morocco,191,left,Centre-Back,€10k,14462
366775,Achraf Al Idrissi,30,Morocco,172,right,Defensive Midfield,,14462
738071,Romuald Dacosta,26,Senegal,182,both,Right Winger,€225k,14462
176573,Babacar Niasse,29,Mauritania,196,right,Goalkeeper,€400k,14462
717216,Marouane Lemzaouri,32,Morocco,0,,Right-Back,€325k,14462
617595,Marouane Bessak,29,Morocco,190,right,Goalkeeper,€200k,14462
1336614,Papa Souley Diallo,20,Senegal,0,right,Left Winger,€10k,14462
1210187,Mohamed Hilali,26,Morocco,0,,Attacking Midfield,€25k,14462
275262,Omar Jerrari,31,Morocco,177,left,Left-Back,€450k,14462
1178984,Hamza Malki,29,Morocco,178,left,Left-Back,€250k,14462
863506,Khalid Baba,25,Morocco,0,,Right Winger,€550k,14462
891953,Abderrazak Ennakouss,24,Morocco,190,left,Centre-Forward,€125k,14462
