tm_id,tm_name,sofascore_id,sofascore_name,match_score
974042,Younes Najari,1186787.0,Youness Najari,0.96
1150962,Mouad Dahak,1605928.0,Mouad Dahak,1.0
262685,Moses Orkuma,330025.0,Moses Orkuma,1.0
822538,El Mehdi Al Harrar,1140885.0,Mehdi Al Harrar,0.91
240712,Khalid Kbiri Alaoui,1009912.0,Khalid Kbiri Alaoui,1.0
617592,Ismail Mokadem,971021.0,Ismail Mokadem,1.0
274235,Mohamed Al-Makahasi,970835.0,Mohamed Al Makahasi,0.95
241324,Bilal Ould-Chikh,544532.0,Bilal Ould-Chikh,1.0
1274436,Ayoub Maamouri,1952096.0,Ayoub Maamouri,1.0
738952,Hilal Ferdaoussi,1008280.0,Hilal Ferdaoussi,1.0
560873,Mohamed Boulacsout,970819.0,Mohamed Boulacsout,1.0
847308,Pape Ousmane Sakho,1102955.0,Pape Ousmane Sakho,1.0
679259,Víctor Ábrego,1016143.0,Victor Ábrego,1.0
904603,Othmane Chraibi,1213240.0,Othmane Chraibi,1.0
569755,Abdellah Khafifi,970766.0,Abdellah Khafifi,1.0
518804,Youssef Belammari,919484.0,Youssef Belammari,1.0
969934,Bouchaib Arrassi,1168799.0,Bouchaib Arrassi,1.0
238634,Adam Ennaffati,797021.0,Adam Ennafati,0.96
371606,Abdelkarim Baadi,919701.0,Abdelkarim Baadi,1.0
988205,Mehdi Mchakhchekh,1502265.0,Mehdi Mchakh'chekh,0.97
245193,Badr Benoun,906597.0,Badr Benoun,1.0
913377,Yassine Zoubir,359282.0,Yassine Jbira,0.81
707310,Ismail Khafi,1008621.0,Ismail Khafi,1.0
318904,Sabir Bougrine,796155.0,Sabir Bougrine,1.0
1079652,Ayoub Ait Khassou,2127597.0,Ayoub Ait Khassou,1.0
876730,Nouh Mohamed El Abd,1444497.0,Nouh Mohamed El Abd,1.0
711572,Zineddine Derrag,1008631.0,Zinedine Derrag,0.97
199704,Yunis Abdelhamid,178721.0,Yunis Abdelhamid,1.0
507374,Ahmed Hammoudan,919533.0,Ahmed Hammoudan,1.0
573065,Tó Carneiro,923882.0,Tó Carneiro,1.0
859133,Ayoub El Khayati,1401592.0,Ayoub El Khayati,1.0
371211,Hamza Khabba,919681.0,Hamza Khabba,1.0
553100,Mohamed Rabie Hrimat,919489.0,Mohamed Rabie Hrimat,1.0
1105266,Zakaria Ajoughlal,1894253.0,Zakaria Ajoughlal,1.0
